time,latitude,longitude,mag,nst,net
2013-12-09T23:56:55.280Z,-0.0168,122.8384,4.5,,us
2013-12-09T23:54:47.470Z,33.463,-116.4565,1.01,34,ci
2013-12-09T23:48:55.890Z,33.5113333,-116.4695,0.82,22,ci
2013-12-09T23:47:27.000Z,61.6037,-147.904,1,7,ak
2013-12-09T23:45:57.310Z,32.6198333,-116.9735,1.5,18,ci
2013-12-09T23:28:54.000Z,38.8252,-122.8095,1.7,,nc
2013-12-09T23:22:33.000Z,62.8809,-151.6173,1.7,13,ak
2013-12-09T23:12:21.680Z,20.713,146.7525,4.9,,us
2013-12-09T23:08:52.000Z,48.0918,-121.948,1.6,,uw
2013-12-09T23:04:09.700Z,39.6177,-123.4783,2.2,,nc
2013-12-09T23:02:04.000Z,60.3362,-141.1958,1,6,ak
2013-12-09T22:42:49.200Z,38.739,-122.691,1,,nc
2013-12-09T22:41:17.000Z,63.2056,-149.0993,0.7,6,ak
2013-12-09T22:33:34.900Z,19.4048,-155.2808,1.9,,hv
2013-12-09T21:58:33.600Z,38.8435,-122.8403,0.9,,nc
2013-12-09T21:31:25.500Z,37.4602,-118.7427,1.2,,nc
2013-12-09T21:11:28.000Z,60.3871,-152.8657,2.4,32,ak
2013-12-09T21:06:43.000Z,60.7371,-151.7395,1.7,,ak
2013-12-09T20:56:49.700Z,38.7442,-122.7027,1.6,,nc
2013-12-09T20:56:25.900Z,38.746,-122.7035,1.1,,nc
2013-12-09T20:47:50.000Z,60.8431,-152.0381,1.5,6,ak
2013-12-09T20:47:01.500Z,35.4267,-120.5697,1.3,,nc
2013-12-09T20:42:00.800Z,36.308,-120.8568,1.8,,nc
2013-12-09T20:37:23.000Z,19.2657,-155.1618,2.2,,hv
2013-12-09T20:36:49.570Z,36.3624,141.7731,5.1,,us
2013-12-09T20:29:16.600Z,38.8158,-122.8452,1.8,,nc
2013-12-09T20:25:56.500Z,38.8363,-122.8682,0.6,,nc
2013-12-09T19:34:23.100Z,37.5373,-118.8195,0.9,,nc
2013-12-09T19:10:40.800Z,18.1588,-64.2667,2.9,6,pr
2013-12-09T19:10:10.160Z,35.9073333,-117.1956667,0.58,4,ci
2013-12-09T19:06:49.000Z,63.0633,-151.4406,1.5,12,ak
2013-12-09T19:04:12.000Z,60.5745,-142.7732,1,7,ak
2013-12-09T18:59:41.600Z,38.8082,-122.8247,0.6,,nc
2013-12-09T18:24:26.900Z,18.736,-64.4142,2.7,9,pr
2013-12-09T18:11:39.500Z,38.7862,-122.7627,0.5,,nc
2013-12-09T18:10:00.500Z,19.2227,-155.5312,1.3,,hv
2013-12-09T18:06:07.000Z,52.5113,-164.0781,3.4,,ak
2013-12-09T18:05:14.100Z,19.3138,-155.2525,1.7,,hv
2013-12-09T17:57:35.600Z,38.8085,-122.8153,0.8,,nc
2013-12-09T17:54:30.100Z,38.8093,-122.814,1.9,,nc
2013-12-09T17:54:25.000Z,65.0038,-147.2157,0.8,5,ak
2013-12-09T17:40:32.470Z,36.2897,70.5174,4.8,,us
2013-12-09T17:32:59.400Z,19.4398,-154.9863,2.2,,hv
2013-12-09T17:08:49.300Z,38.8345,-122.7887,0.9,,nc
2013-12-09T17:06:51.400Z,38.8355,-122.7892,0.7,,nc
2013-12-09T16:57:03.000Z,63.3501,-151.3352,1.4,9,ak
2013-12-09T16:55:15.000Z,63.4757,-151.2236,1.8,19,ak
2013-12-09T16:42:25.840Z,39.1234,94.196,4.7,,us
2013-12-09T16:41:31.700Z,36.6875,-121.2623,2,,nc
2013-12-09T16:23:20.000Z,62.2278,-150.0579,1.4,10,ak
2013-12-09T16:08:03.840Z,33.6623333,-116.7726667,0.51,16,ci
2013-12-09T16:02:16.900Z,38.8098,-122.8253,0.8,,nc
2013-12-09T15:51:42.460Z,33.6685,-116.7791667,0.69,21,ci
2013-12-09T15:44:52.100Z,47.4185,-123.1838,1,,uw
2013-12-09T15:39:25.000Z,63.3169,-151.4448,1.5,9,ak
2013-12-09T15:35:30.400Z,38.7912,-122.7447,1.1,,nc
2013-12-09T15:27:23.400Z,37.631,-118.9175,1.4,,nc
2013-12-09T15:27:06.860Z,9.4281,122.0809,4.5,,us
