time,latitude,longitude,mag,net
2013-11-21T22:55:57.300Z,34.2593,-116.4457,1.2,ci
2013-11-21T22:44:44.000Z,61.1112,-150.8366,2.3,ak
2013-11-21T22:37:01.600Z,34.2775,-118.4768,1.3,ci
2013-11-21T22:34:01.600Z,38.8067,-122.8175,1.1,nc
2013-11-21T22:27:48.000Z,61.685,-149.9009,1.6,ak
2013-11-21T22:13:21.600Z,49.339,-120.5668,2.3,uw
2013-11-21T22:06:51.000Z,51.6764,-177.1755,1.4,ak
2013-11-21T21:50:21.800Z,-6.6278,154.6836,4.7,us
2013-11-21T21:34:39.700Z,36.0885,-118.0042,1.4,ci
2013-11-21T21:04:13.500Z,33.941,-116.6247,1.1,ci
2013-11-21T21:01:06.000Z,59.5615,-152.9443,2.2,ak
2013-11-21T21:00:09.900Z,48.3178,-115.646,1.6,mb
2013-11-21T20:35:26.000Z,62.2591,-150.1099,1.3,ak
2013-11-21T20:24:32.800Z,37.652,-119.0195,1,nc
2013-11-21T20:22:53.000Z,64.9968,-147.3418,1.4,ak
2013-11-21T20:20:09.000Z,38.8235,-122.825,1.3,nc
2013-11-21T20:02:17.900Z,38.8042,-122.7693,1.2,nc
2013-11-21T20:01:41.800Z,19.4597,-155.818,1.3,hv
2013-11-21T19:45:30.760Z,40.7087,19.6023,4.4,us
2013-11-21T19:36:51.000Z,51.7526,-175.5228,1.6,ak
2013-11-21T19:14:53.300Z,35.802,-117.5353,1.2,ci
2013-11-21T19:06:00.800Z,36.7618,-121.595,1.3,nc
2013-11-21T18:35:19.700Z,19.4255,-155.262,1.8,hv
2013-11-21T18:28:20.200Z,45.2298,-123.0372,1.9,uw
2013-11-21T18:01:16.000Z,62.8475,-150.2421,1.5,ak
2013-11-21T17:36:03.200Z,19.2937,-155.4662,2.5,hv
2013-11-21T16:53:34.600Z,47.0321,-112.2153,1.3,mb
2013-11-21T16:52:01.000Z,63.484,-148.3702,1.3,ak
2013-11-21T16:49:50.300Z,38.964,-111.3843,1.2,uu
2013-11-21T16:45:52.000Z,62.6512,-149.76,1.3,ak
2013-11-21T16:17:52.330Z,6.7996,-73.0693,4.6,us
2013-11-21T16:04:09.000Z,50.3138,-176.2002,2.4,ak
2013-11-21T16:01:38.000Z,59.2976,-150.5176,2.8,ak
2013-11-21T15:59:30.900Z,19.5897,-65.3855,3.3,pr
2013-11-21T15:40:27.730Z,41.7547,71.9969,4.5,us
2013-11-21T15:31:43.100Z,44.7635,-111.0938,1.4,uu
2013-11-21T15:14:46.100Z,33.152,-115.6398,1.3,ci
2013-11-21T14:24:33.900Z,38.8105,-122.8097,1,nc
2013-11-21T14:16:26.000Z,51.2537,-175.2144,2,ak
2013-11-21T14:15:21.800Z,38.801,-122.9093,1.1,nc
2013-11-21T14:07:54.000Z,62.9321,-148.0876,1.5,ak
2013-11-21T13:36:12.000Z,63.3654,-150.3279,1.5,ak
2013-11-21T13:23:18.600Z,35.8337,-121.1262,1.2,nc
2013-11-21T13:22:28.980Z,23.7686,-44.9726,4.9,us
2013-11-21T13:17:20.500Z,18.6205,-65.6494,2.7,pr
2013-11-21T13:04:01.600Z,33.4132,-118.8733,2.9,ci
2013-11-21T13:02:22.500Z,36.9718,-121.6303,1.6,nc
2013-11-21T12:50:01.000Z,61.7892,-150.8768,1.9,ak
2013-11-21T12:37:36.680Z,32.7753,140.9492,4.7,us
2013-11-21T12:25:41.400Z,37.1603,-121.5447,1,nc
2013-11-21T12:10:13.000Z,65.2192,-152.6583,2.1,ak
2013-11-21T11:57:50.000Z,61.4752,-148.3652,1,ak
2013-11-21T11:51:44.500Z,35.513,-92.4437,2.3,nm
2013-11-21T11:45:18.710Z,-60.1954,-44.9882,4.3,us
2013-11-21T11:45:03.000Z,62.087,-151.0477,1.5,ak
2013-11-21T11:43:29.000Z,51.2405,-176.2928,1.6,ak
2013-11-21T11:40:51.000Z,63.1502,-150.4905,1.4,ak
2013-11-21T11:31:01.000Z,51.2596,-177.8179,1.6,ak
2013-11-21T11:20:02.000Z,64.3268,-150.696,1.5,ak
2013-11-21T11:13:18.120Z,-60.2143,-45.9414,4.5,us
2013-11-21T11:08:32.700Z,18.1504,-66.9231,1.7,pr
2013-11-21T10:52:47.000Z,61.94,-149.159,1.3,ak
2013-11-21T10:47:36.000Z,61.9134,-149.1327,1.3,ak
2013-11-21T10:44:14.000Z,62.4635,-148.8398,1.2,ak
2013-11-21T10:35:40.000Z,62.9663,-150.9472,2,ak
2013-11-21T10:17:15.000Z,51.4202,-175.1685,1.5,ak
2013-11-21T10:17:12.000Z,59.4974,-139.0804,1.8,ak
2013-11-21T10:07:33.000Z,51.7669,-176.0253,2.3,ak
2013-11-21T09:53:14.000Z,61.2371,-149.6373,1.9,ak
2013-11-21T09:53:05.000Z,47.6342,-2.9368,4.5,us
2013-11-21T09:44:08.700Z,38.8387,-122.8308,1.5,nc
2013-11-21T09:42:57.500Z,36.976,-121.6327,1.5,nc
2013-11-21T09:34:42.000Z,57.8084,-156.2653,2.6,ak
2013-11-21T09:34:25.000Z,60.8665,-151.6182,1.5,ak
2013-11-21T09:16:46.700Z,19.4057,-155.4075,2.7,hv
2013-11-21T09:14:55.600Z,-6.5423,155.1134,4.4,us
2013-11-21T09:14:53.000Z,59.7804,-152.6813,2.1,ak
2013-11-21T09:10:50.000Z,60.4121,-152.0018,1.6,ak
2013-11-21T08:59:25.290Z,39.606,142.2086,4.9,us
2013-11-21T08:59:09.300Z,37.603,-118.793,1.4,nc
2013-11-21T08:46:21.300Z,19.2283,-155.3848,1.7,hv
2013-11-21T08:23:23.200Z,35.4687,-119.31,2.7,ci
2013-11-21T08:21:26.000Z,66.3606,-157.0713,2.9,ak
2013-11-21T08:15:05.600Z,17.9246,-67.1007,1.2,pr
2013-11-21T08:11:27.900Z,38.8418,-122.831,1.4,nc
2013-11-21T08:04:20.300Z,32.8817,-116.2508,2.2,ci
2013-11-21T07:56:26.000Z,65.0499,-149.8533,1.4,ak
2013-11-21T07:50:11.760Z,-23.9753,-66.7405,4.5,us
2013-11-21T07:46:35.600Z,38.7543,-122.736,1,nc
2013-11-21T07:32:48.600Z,36.0487,-117.4805,2.2,ci
2013-11-21T07:29:49.000Z,50.0821,179.9597,2.6,ak
2013-11-21T07:22:04.000Z,65.1991,-150.001,2,ak
2013-11-21T07:06:10.000Z,38.814,-122.8247,1,nc
2013-11-21T06:52:59.300Z,18.2343,-67.652,2,pr
2013-11-21T06:48:17.380Z,-16.785,-72.0684,4.3,us
2013-11-21T06:45:41.900Z,38.8123,-122.8228,2.1,nc
2013-11-21T06:39:53.900Z,37.2645,-121.6493,2.2,nc
2013-11-21T06:38:52.360Z,45.7761,26.7589,4.4,us
2013-11-21T06:36:45.000Z,63.2677,-151.0663,1.2,ak
2013-11-21T06:15:12.200Z,44.8393,-111.4931,1.2,mb
2013-11-21T06:08:43.000Z,63.0822,-151.3617,1.5,ak
2013-11-21T05:53:57.160Z,32.9162,-97.531,2.2,us
2013-11-21T05:41:37.100Z,35.8112,-121.2172,2.3,nc
2013-11-21T05:19:54.400Z,19.781,-65.1272,3.3,pr
2013-11-21T05:15:48.600Z,32.8845,-116.2553,1.4,ci
2013-11-21T05:03:54.000Z,63.1738,-150.7657,1.7,ak
2013-11-21T04:59:13.000Z,63.3087,-144.9837,1.2,ak
2013-11-21T04:57:37.000Z,54.719,-159.9727,3,ak
2013-11-21T04:54:02.940Z,-8.8394,-74.8099,4.9,us
2013-11-21T04:35:41.874Z,39.3069,-119.7329,1.05,nn
2013-11-21T04:28:42.600Z,13.0937,-89.05,4.3,us
2013-11-21T04:00:16.300Z,38.8085,-122.8135,1.6,nc
2013-11-21T03:54:20.300Z,38.8178,-122.7852,1,nc
2013-11-21T03:52:25.700Z,38.7927,-122.8078,1.4,nc
2013-11-21T03:49:17.000Z,63.4402,-152.0526,1.4,ak
2013-11-21T03:45:02.000Z,62.9385,-149.5096,1.1,ak
2013-11-21T03:41:17.800Z,38.8233,-122.7975,1.4,nc
2013-11-21T03:37:59.040Z,37.5767,141.9697,4.9,us
2013-11-21T03:30:30.000Z,44.6293,-110.3432,1.2,uu
2013-11-21T03:12:58.000Z,51.4664,-175.5758,1.8,ak
2013-11-21T02:35:20.200Z,19.3778,-155.3353,2,hv
2013-11-21T02:29:31.000Z,61.5424,-150.5586,1.9,ak
2013-11-21T02:24:42.800Z,36.1863,-120.7343,1.7,nc
2013-11-21T02:17:40.300Z,38.8218,-122.7645,1,nc
2013-11-21T01:56:36.000Z,51.5306,-177.1091,1.6,ak
2013-11-21T01:21:40.700Z,36.4965,-121.0792,1.3,nc
2013-11-21T01:08:43.100Z,38.7907,-122.7787,1.2,nc
2013-11-21T01:02:37.900Z,32.8875,-116.255,1.7,ci
2013-11-21T01:00:30.000Z,64.356,-150.6932,1.7,ak
2013-11-21T00:52:30.100Z,38.7507,-122.699,1,nc
2013-11-21T00:52:09.100Z,38.7247,-122.7413,2.2,nc
2013-11-21T00:48:54.600Z,40.3697,-123.7153,3.4,nc
2013-11-21T00:48:43.900Z,38.7498,-122.6965,1,nc
2013-11-21T00:36:33.100Z,40.3727,-123.7183,2.1,nc
2013-11-21T00:21:42.000Z,59.3981,-152.9369,1.8,ak
2013-11-21T00:19:38.000Z,62.3769,-152.4384,1.6,ak
2013-11-21T00:04:00.000Z,63.9355,-148.8506,1.4,ak
2013-11-20T23:57:59.000Z,65.0004,-147.3273,1.2,ak
2013-11-20T23:47:10.000Z,61.1603,-146.5667,1.1,ak
2013-11-20T23:46:59.000Z,37.4947,-119.344,1.5,nc
2013-11-20T23:43:48.000Z,61.5003,-149.8786,1.3,ak
2013-11-20T23:26:39.000Z,45.821,-122.4735,1.6,uw
2013-11-20T23:23:46.500Z,45.673,-122.2975,1,uw
2013-11-20T23:20:01.900Z,38.7927,-122.801,1.9,nc
2013-11-20T23:18:53.700Z,36.3065,-120.8337,1.4,nc
2013-11-20T23:03:48.900Z,38.5152,-111.9077,1.2,uu
2013-11-20T22:45:38.000Z,63.4704,-146.0896,1,ak
2013-11-20T22:29:43.800Z,35.3993,-118.3985,1.4,ci
2013-11-20T22:27:30.000Z,63.2918,-151.1465,1.4,ak
2013-11-20T22:20:42.700Z,45.338,-122.8065,1,uw
2013-11-20T22:09:07.700Z,49.2903,-120.5777,2.3,uw
2013-11-20T21:38:45.000Z,62.0294,-150.8535,1.5,ak
2013-11-20T21:27:34.600Z,36.4875,-120.9062,1.6,nc
2013-11-20T21:23:18.090Z,39.3295,140.6681,4.5,us
2013-11-20T21:22:03.000Z,59.866,-152.3692,1.6,ak
2013-11-20T21:07:14.000Z,-27.759,-69.262,4.1,us
2013-11-20T20:32:17.500Z,32.6137,-115.7538,1.9,ci
2013-11-20T20:26:01.900Z,35.8767,-118.0958,1.2,ci
2013-11-20T20:22:58.100Z,45.8938,-111.293,1.8,mb
2013-11-20T20:17:03.100Z,36.9397,-113.6287,1.8,uu
2013-11-20T20:05:39.300Z,36.4872,-120.9013,1.5,nc
2013-11-20T19:57:52.000Z,40.1452,-120.9723,1.8,nc
2013-11-20T19:40:18.000Z,62.2686,-148.4353,1.3,ak
2013-11-20T19:39:15.000Z,36.1708,-89.5197,2.2,nm
2013-11-20T19:23:59.000Z,61.987,-149.1286,1.2,ak
2013-11-20T18:44:38.400Z,35.0457,-117.6617,1.1,ci
2013-11-20T18:44:18.700Z,-4.0381,133.8649,4.9,us
2013-11-20T18:41:26.600Z,18.1058,-65.457,2,pr
2013-11-20T18:36:43.400Z,42.9263,-111.1423,2.1,mb
2013-11-20T18:35:37.000Z,40.989,-123.5503,2.1,nc
2013-11-20T18:34:57.000Z,61.4995,-151.4668,1.8,ak
2013-11-20T18:31:23.900Z,32.1612,-115.1585,3,ci
2013-11-20T18:30:09.700Z,35.4023,-118.3965,1.3,ci
2013-11-20T18:29:58.800Z,37.163,-121.5553,1.6,nc
2013-11-20T18:29:18.000Z,62.7274,-147.9315,1,ak
2013-11-20T18:23:06.100Z,40.1517,-120.973,2.1,nc
2013-11-20T18:00:25.500Z,19.2072,-155.2638,2.2,hv
2013-11-20T18:00:00.000Z,39.0018,-111.3438,1.7,uu
2013-11-20T17:59:59.800Z,39.0007,-111.341,1.6,uu
